level,intensity,text,category
1,1,"What's the most interesting thing that happened to you this week?","Icebreaker"
1,1,"If you could have dinner with anyone, dead or alive, who would it be and why?","Personality"
1,1,"What's your favorite way to spend a Saturday?","Lifestyle"
1,1,"If you could visit any place in the world, where would you go?","Travel"
1,1,"What's your go-to karaoke song?","Entertainment"
1,1,"What was your favorite childhood TV show?","Childhood"
1,1,"If you had to eat one food for the rest of your life, what would it be?","Food"
1,1,"What's something you're looking forward to in the next month?","Personal"
1,1,"What's your favorite season and why?","Preferences"
1,1,"What's your favorite animal and why?","Preferences"
1,1,"What would be your ideal superpower?","Fantasy"
1,1,"What's a movie that always makes you laugh?","Entertainment"
1,1,"What's one hobby you've always wanted to try?","Aspirations"
1,1,"If you could instantly become an expert at something, what would it be?","Skills"
1,1,"What's your favorite breakfast food?","Food"
1,1,"What are three items you'd take to a deserted island?","Hypothetical"
1,1,"What was your first job?","Career"
1,1,"If you could travel to any fictional world, where would you go?","Fantasy"
1,1,"What's something small that makes you disproportionately happy?","Joy"
1,1,"What's the best piece of advice you've ever received?","Wisdom"
1,2,"What's something you're proud of but don't get to talk about much?","Accomplishments"
1,2,"What's a skill you have that most people don't know about?","Skills"
1,2,"What's something you believed as a child that you later found out wasn't true?","Childhood"
1,2,"What's a small hill you're willing to die on?","Opinions"
1,2,"If you could have a 30-minute conversation with your past self, what would you say?","Reflection"
1,2,"What's something you've changed your mind about in the last few years?","Growth"
1,2,"What's the most spontaneous thing you've ever done?","Adventures"
1,2,"What's a tradition from your childhood that you want to pass on?","Family"
1,2,"What's something you're currently struggling with?","Challenges"
1,2,"What's a book or movie that changed your perspective on something?","Influence"
1,2,"What's a personal goal you're currently working towards?","Aspirations"
1,2,"What's something you wish you were better at?","Self-improvement"
1,2,"What's a mistake you've made that taught you something valuable?","Learning"
1,2,"If you could relive one day of your life, which would it be and why?","Memories"
1,2,"What's something you're grateful for today?","Gratitude"
1,2,"What's something you've done that you never thought you would?","Surprises"
1,2,"What's a compliment you've received that stuck with you?","Affirmation"
1,2,"What's something that's been weighing on your mind lately?","Concerns"
1,2,"What's a question you've been asking yourself recently?","Introspection"
1,2,"What's the most beautiful place you've ever been?","Experiences"
1,3,"What's a belief you have that most people disagree with?","Controversial"
1,3,"What's something you pretend to understand but actually don't?","Vulnerabilities"
1,3,"What's something about yourself that you're working on improving?","Self-improvement"
1,3,"What's the hardest decision you've had to make in the past year?","Decisions"
1,3,"What's a relationship in your life that you wish was better?","Relationships"
1,3,"What's something you regret not doing?","Regrets"
1,3,"What's a fear you've overcome?","Growth"
1,3,"When was the last time you cried and why?","Emotions"
1,3,"What's something you're currently worried about?","Concerns"
1,3,"What's something you wish people understood about you?","Understanding"
1,3,"What's a time when you felt misunderstood?","Communication"
1,3,"What's a time when you felt truly seen by someone?","Connection"
1,3,"What's something you're still trying to figure out about yourself?","Self-discovery"
1,3,"What's a part of yourself that you're still learning to accept?","Self-acceptance"
1,3,"What's a moment when you felt out of place?","Belonging"
1,3,"What's a time when you felt like you didn't belong?","Isolation"
1,3,"What's something you know now that you wish you knew earlier?","Wisdom"
1,3,"What's a fear that holds you back?","Limitations"
1,3,"What's a boundary you're working on setting in your life?","Boundaries"
1,3,"What's something you're passionate about that others might not understand?","Passion"
2,1,"What's your favorite way to relax after a stressful day?","Self-care"
