level,intensity,text,category
1,1,"[Icebreaker Mild Prompt 1]","Icebreaker"
1,1,"[Icebreaker Mild Prompt 2]","Icebreaker"
1,1,"[Icebreaker Mild Prompt 3]","Icebreaker"
...
1,2,"[Icebreaker Medium Prompt 1]","Icebreaker"
1,2,"[Icebreaker Medium Prompt 2]","Icebreaker"
1,2,"[Icebreaker Medium Prompt 3]","Icebreaker"
...
1,3,"[Icebreaker Wild Prompt 1]","Icebreaker"
1,3,"[Icebreaker Wild Prompt 2]","Icebreaker"
1,3,"[Icebreaker Wild Prompt 3]","Icebreaker"
...
2,1,"[Getting to Know You Mild Prompt 1]","Getting to Know You"
2,1,"[Getting to Know You Mild Prompt 2]","Getting to Know You"
2,1,"[Getting to Know You Mild Prompt 3]","Getting to Know You"
...
2,2,"[Getting to Know You Medium Prompt 1]","Getting to Know You"
2,2,"[Getting to Know You Medium Prompt 2]","Getting to Know You"
2,2,"[Getting to Know You Medium Prompt 3]","Getting to Know You"
...
2,3,"[Getting to Know You Wild Prompt 1]","Getting to Know You"
2,3,"[Getting to Know You Wild Prompt 2]","Getting to Know You"
2,3,"[Getting to Know You Wild Prompt 3]","Getting to Know You"
...
3,1,"[Deeper Dive Mild Prompt 1]","Deeper Dive"
3,1,"[Deeper Dive Mild Prompt 2]","Deeper Dive"
3,1,"[Deeper Dive Mild Prompt 3]","Deeper Dive"
...
3,2,"[Deeper Dive Medium Prompt 1]","Deeper Dive"
3,2,"[Deeper Dive Medium Prompt 2]","Deeper Dive"
3,2,"[Deeper Dive Medium Prompt 3]","Deeper Dive"
...
3,3,"[Deeper Dive Wild Prompt 1]","Deeper Dive"
3,3,"[Deeper Dive Wild Prompt 2]","Deeper Dive"
3,3,"[Deeper Dive Wild Prompt 3]","Deeper Dive"
...
